Stop,Nazwa_Profilu,Input_Geo_tp,Input_Geo_bp,Input_Geo_b_otw,Res_Masa_kg_m,Calc_Fy,Calc_Fz,Input_Load_Fx,Res_UR,Status_Wymogow,Res_Max_VonMises,Res_Stab_M_cr,Calc_Nb_Rd,Res_Force_Mz_Ed,Res_Force_My_Ed,Res_Force_Ms_Ed,Res_Geo_Iy,Res_Geo_Iz,Res_Geo_It,Res_Geo_Iw,Res_Geo_Ys,Res_Geo_Delta_Ys,Raport_Etap,Input_UPE_hc,Input_UPE_bc,Input_UPE_twc,Input_UPE_tfc,Input_UPE_rc,Input_UPE_Ac,Input_UPE_Gc,Input_UPE_Icy,Input_UPE_Icz,Input_UPE_Wcy,Input_UPE_Wcz,Input_UPE_xc,Input_UPE_xsc,Input_UPE_Typ,Input_Load_F_promien,Input_Load_L,Input_Load_w_Ty,Input_Load_w_Tz,Input_Load_Re,Input_Load_E,Input_Load_G,Input_Load_rho,Input_Load_Edef,Input_Load_Typ,Input_Safety_gamma_M0,Input_Safety_gamma_M1,Input_Safety_alfa_imp,Res_Punkt_Krytyczny,Res_Klasa_Przekroju,Res_Geo_Acal,Res_Force_N_Ed,Res_Force_Mw_Ed,Res_Stab_N_cr_min,Res_Stab_N_cr_gs,Res_Stab_Chi_N,Res_Stab_Chi_LT,Res_Disp_U_y_max,Res_Disp_U_z_max,Res_Disp_Phi_rad,Res_Disp_Phi_deg,P1_Sigma_Total,P1_Tau_Total,P1_VonMises,P1_Omega,P2_Sigma_Total,P2_Tau_Total,P2_VonMises,P2_Omega,P3_Sigma_Total,P3_Tau_Total,P3_VonMises,P3_Omega,P4_Sigma_Total,P4_Tau_Total,P4_VonMises,P4_Omega,P5_Sigma_Total,P5_Tau_Total,P5_VonMises,P5_Omega,P6_Sigma_Total,P6_Tau_Total,P6_VonMises,P6_Omega
S355,UPN65,8,200.0,70.0,26.737,4800.0,4800.0,24000.0,0.9625469043567656,SPEŁNIA,682.9531925499234,22445416805.666634,1209130.0,10911509.101585437,576000.0,2260934.609041517,18910455.173333332,2288794.519475436,46700.16666666666,20470841718.603474,-21.028043550316127,40.38183098425623,1_MIN_GEO_UPN65_tp8,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,3406.0,24000.0,270171999.249218,60228254.038770825,60228254.038770825,1.0,1.0,0.1605762436132994,0.0006962135054411582,0.0003014116283889893,0.017269614202854635,85.22009738237071,387.3107563284672,676.2331926939469,0.0,99.54995723028506,390.091813649719,682.9531925499234,-1219.6265259183353,111.67345012490335,276.1317358388851,491.1386424167689,-2228.8043550316124,6.899155700594744,277.0022476352847,479.8315682970221,-235.59849187423288,284.93156144056144,299.7015875740661,592.1563302779117,3619.995680175092,330.8901372787932,296.3060494223413,610.6390977665969,7192.846389525
S355,UPN65,8,230.0,100.0,28.621,4800.0,4800.0,24000.0,0.913788192612675,SPEŁNIA,615.4234067412071,30182225075.90719,1294330.0,10942084.476138232,576000.0,2256289.2753558233,26743449.173333332,2374053.6076065097,51820.16666666666,26191600206.604504,-20.060265699129893,38.140079193370156,2_MAX_GEO_UPN65_tp8,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,3646.0,24000.0,269767263.2403231,65926595.007611685,65926595.007611685,1.0,1.0,0.15525105402643363,0.0004922967938945661,0.00023525085087723474,0.01347888088212705,76.74784791186141,348.3260545832528,608.1803622805556,0.0,90.25854110110733,351.4727895220591,615.4234067412071,-1464.3993960364821,99.38881617544207,249.11451743578706,442.77789598460197,-2432.9305553999375,5.924827297305726,249.8092234287739,432.7228303530611,-298.5862728897,278.7092441670555,269.92236519965985,544.291367274098,4294.7046623818305,314.272152869546,266.45460304079546,558.3557580200485,7829.57009107268
S355,UPN65,10,200.0,70.0,29.877,4800.0,4800.0,24000.0,0.9292999992433635,SPEŁNIA,504.11785523845145,23778030710.478092,1351130.0,10948937.46715712,576000.0,2254769.572538058,20243788.506666668,2501237.0818006657,79233.49999999999,21392470376.88873,-19.743660945428765,37.53793314721542,1_MIN_GEO_UPN65_tp10,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,3806.0,24000.0,268732087.26700795,67229659.74657965,67229659.74657965,1.0,1.0,0.14745075037938213,0.000650358221307171,0.0002867382736708703,0.016428892906208043,71.58697264009315,284.5727593174677,498.0659200230886,0.0,84.32183431999282,286.9521680391629,504.11785523845145,-1145.1323348348683,95.20468819256841,166.5987433665307,303.85746087230706,-2100.3660945428765,5.723325955192003,167.31288049189732,289.8509209843521,-266.64380676428186,280.21087389910025,180.01925278700278,419.2122707808896,3740.613221611966,324.3290575980338,176.65875110006172,445.8859502419082,7341.5519137200445
S355,UPN65,10,230.0,100.0,32.232,4800.0,4800.0,24000.0,0.882278156727295,SPEŁNIA,447.8545851210187,32059770683.168896,1457630.0,10980140.282513395,576000.0,2249988.1365314825,28771282.506666668,2591787.5263841534,89233.49999999999,27390195924.533703,-18.747528444058858,35.24168333933407,2_MAX_GEO_UPN65_tp10,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,4106.0,24000.0,268381727.71308586,73515782.97174104,73515782.97174104,1.0,1.0,0.14271196679323628,0.0004575991453513977,0.00022369507752023325,0.012816783839761143,64.03258885462392,252.14612634621335,441.3991159139618,0.0,75.98100526400178,254.82060111183551,447.8545851210187,-1368.5695764162967,84.14509742734504,148.51261653149996,270.64439626224384,-2281.965771066769,4.823753285822838,149.07342809616875,258.2478063581437,-333.58225488895823,274.0166281363236,160.01068950267788,389.7375716563229,4437.6988581164,308.1313946971693,156.5824327937837,410.4864567520859,7999.53934954571
S355,UPN65,12,200.0,70.0,33.017,4800.0,4800.0,24000.0,0.899247631483461,SPEŁNIA,376.59869803655187,25084014561.347202,1493130.0,10979246.790299572,576000.0,2249297.3731442876,21577121.84,2706299.8573466474,127766.83333333333,22234414561.88388,-18.603619405059927,35.13500314257776,1_MIN_GEO_UPN65_tp12,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,4206.0,24000.0,267080254.9182568,74098651.61917628,74098651.61917628,1.0,1.0,0.13666204074825333,0.0006101700858595274,0.0002739780425693196,0.01569778551847762,61.360396374244246,211.25645657439622,371.0161311537729,0.0,72.77317967911257,213.3312320330504,376.59869803655187,-1079.0099254934757,82.62453470487631,107.06718917184122,203.01961167994045,-1986.3619405059926,4.91406308042233,107.66718552667707,186.54976958888497,-282.0636133902947,275.49950066963936,114.94213313796817,339.90448184768,3848.009318136096,318.1117216438618,111.61921594027933,372.25208602315445,7482.701379784698
S355,UPN65,12,230.0,100.0,35.843,4800.0,4800.0,24000.0,0.8537641455701268,SPEŁNIA,346.8711078793865,33887741127.605095,1620930.0,11010528.252299605,576000.0,2244441.773332451,30799115.84,2801246.1629434954,145046.83333333334,28470929623.197937,-17.592036110927246,32.82002559844367,2_MAX_GEO_UPN65_tp12,65.0,42.0,5.5,6.0,7.5,903.0,7.09,575000.0,141000.0,17700.0,5070.0,14.2,20.1,UPN,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,4566.0,24000.0,266821035.0373259,80883819.10043812,80883819.10043812,1.0,1.0,0.1324128430971292,0.0004274705272095982,0.0002138072954102258,0.012250255656112754,54.59862234300425,185.68693063497477,326.2206587383267,0.0,65.26870121612693,188.00701566327376,332.11431341372725,-1284.218636097689,72.63991505829392,95.06226838828061,179.9640571699045,-2149.084152756633,4.080232759200678,95.52734282959725,165.50851332671522,-349.4872623871938,269.3436950341181,101.5930809788538,321.7289050784214,4563.920917639087,302.3007945836474,98.20691604221568,346.8711078793865,8158.908334992982
S355,UPE80,5,230.0,70.0,21.43,4800.0,4800.0,24000.0,0.8072081842146767,SPEŁNIA,1064.5923388988663,38297771954.29677,969150.0,10785670.329670329,576000.0,2362170.9235922256,21451095.133333333,2778577.60989011,28009.999999999996,52745520993.64878,-42.118942415046995,66.7160120121166,1_MIN_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2730.0,24000.0,283182145.6127686,73674608.13244772,73674608.13244772,1.0,1.0,0.1307185204643214,0.0006137548784283647,0.00012269216827255774,0.007029743421326462,86.68781717000662,421.6656414837961,735.4729888102787,0.0,99.64088672681476,424.9002922057555,742.663504729642,-2737.7312569780547,110.59803654851817,349.8634377172567,615.9912343876313,-5018.6783777304045,0.51988173987972,351.0079682173565,607.9638570945265,-2105.777489237307,237.18032327215877,597.6894462601276,1062.0510949383272,3363.7536462938288,267.7485603236462,594.8858592163635,1064.5923388988663,9297.462882216085
S355,UPE80,5,260.0,100.0,22.608,4800.0,4800.0,24000.0,0.7811327520331994,SPEŁNIA,1016.7825712207193,49278008072.728294,1022400.0,10816416.666666666,576000.0,2355465.698741147,28852485.13333333,2864915.798611111,29259.999999999996,64936617225.279915,-40.7220205710723,64.03799279329452,2_MAX_GEO_UPE80_tp5,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2880.0,24000.0,282420316.49281764,79925568.9010788,79925568.9010788,1.0,1.0,0.12714709258202547,0.0004563112752635617,9.939299263306688e-05,0.005694798991049616,79.69552624649927,402.5061002633539,701.7014031276735,0.0,92.26699243544242,406.163627982062,709.520877761701,-3257.761645685784,100.92519059865613,334.1770913147471,587.5447890809087,-5468.862674239399,0.640546054556177,335.12900795918097,580.460822301008,-2356.3422442083656,234.75748213842076,570.43094563074,1015.5222629856579,4003.21331134719,259.314310611806,567.6274850786506,1016.7825712207193,9869.87029875866
S355,UPE80,6,230.0,70.0,23.236,4800.0,4800.0,24000.0,0.7930038420214808,SPEŁNIA,864.9500746589298,39701738653.701546,1050800.0,10825135.135135135,576000.0,2352229.8751827967,22465011.799999997,2940153.378378378,34986.666666666664,54111259746.16449,-40.04789066308264,63.00059336578534,1_MIN_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,2960.0,24000.0,281930173.8256889,79473169.30053791,79473169.30053791,1.0,1.0,0.12399510715516018,0.0005860541896405453,0.00011906165179211555,0.006821730149544436,76.3997649506702,403.3930807287571,702.8619045189677,0.0,88.29589714947853,406.2801192413629,709.2156028499087,-2603.112893100372,98.4098318051582,281.5447894045964,497.48055270387715,-4780.507426254504,0.2679803635981841,282.52900438106536,489.3546635755538,-2060.850834117527,236.0898584064704,477.9190116744159,860.7892694509724,3594.4937604770676,265.5070636804668,475.26996917129975,864.9500746589298,9476.792512305034
S355,UPE80,6,260.0,100.0,24.649,4800.0,4800.0,24000.0,0.7676317956454879,SPEŁNIA,814.4121946775437,51187542918.97363,1114700.0,10856713.375796178,576000.0,2345156.483524791,30317151.799999997,3030086.1146496814,37146.666666666664,66665732488.54332,-38.574267400998124,60.211210076157364,2_MAX_GEO_UPE80_tp6,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P6 (Koniec Dolnej Półki),1,3140.0,24000.0,281128816.7948159,86135477.16261029,86135477.16261029,1.0,1.0,0.12067225217586168,0.0004342661992975965,9.636849198341468e-05,0.005521507868689969,69.8812453081992,378.79411973659586,659.8017458956078,0.0,81.37470174679854,382.0427932919935,666.7022797346856,-3085.9413920798497,89.33408379842837,264.77264784008094,467.2196952835434,-5189.654762129756,0.3773723092723813,265.5819439557447,460.00157529708173,-2299.70367955706,233.63208299720213,448.7858254775887,811.6711782824456,4274.767658022558,257.22744257958476,446.13199303325007,814.4121946775437,10086.33249327047
S355,UPE80,8,230.0,70.0,26.847,4800.0,4800.0,24000.0,0.7683362130923514,SPEŁNIA,569.620124007835,42437776757.5855,1214100.0,10888140.350877192,576000.0,2335154.3523138487,24492845.133333333,3229526.5497076022,57679.99999999999,56660293024.38603,-36.49049006538512,56.81797544550208,1_MIN_GEO_UPE80_tp8,80.0,50.0,4.0,7.0,10.0,790.0,6.2,787000.0,116000.0,19700.0,3230.0,13.9,18.2,UPE,450.0,120.0,0.2,0.2,355.0,210000.0,81000.0,7850.0,235.0,Stal,1.0,1.0,0.49,P2 (Koniec Nakładki),1,3420.0,24000.0,279691572.61842775,90353858.56835935,90353858.56835935,1.0,1.0,0.11355373810544399,0.0005375330719662501,0.0001127869512581239,0.0064622162912382295,61.515261303125115,323.8771639825033,564.3344570564868,0.0,71.69494557720888,326.25497209666264,569.620124007835,-2371.8818542500326,80.43635663420233,174.6907468480244,313.08238304246095,-4371.406357519289,0.003927241665081738,175.447975577432,303.8848078105925,-1960.7645586750677,233.9303027719714,290.60055729562094,555.0400330215493,3991.229593371716,261.4691956522536,288.1732229772875,563.4692179688158,9798.773116510201
