NodeID,X,Y,Z
1,0.0,4.0,-32.5
2,0.0,4.0,32.5
3,0.0,46.0,32.5
4,0.0,46.0,26.5
5,0.0,17.0,26.5
6,0.0,9.5,19.0
7,0.0,9.5,-19.0
8,0.0,17.0,-26.5
9,0.0,46.0,-26.5
10,0.0,46.0,-32.5
11,0.0,-4.0,-32.5
12,0.0,-4.0,32.5
13,0.0,-46.0,32.5
14,0.0,-46.0,26.5
15,0.0,-17.0,26.5
16,0.0,-9.5,19.0
17,0.0,-9.5,-19.0
18,0.0,-17.0,-26.5
19,0.0,-46.0,-26.5
20,0.0,-46.0,-32.5
21,100.0,4.0,-32.5
22,100.0,4.0,32.5
23,100.0,46.0,32.5
24,100.0,46.0,26.5
25,100.0,17.0,26.5
26,100.0,9.5,19.0
27,100.0,9.5,-19.0
28,100.0,17.0,-26.5
29,100.0,46.0,-26.5
30,100.0,46.0,-32.5
31,100.0,-4.0,-32.5
32,100.0,-4.0,32.5
33,100.0,-46.0,32.5
34,100.0,-46.0,26.5
35,100.0,-17.0,26.5
36,100.0,-9.5,19.0
37,100.0,-9.5,-19.0
38,100.0,-17.0,-26.5
39,100.0,-46.0,-26.5
40,100.0,-46.0,-32.5
41,0.0,-4.0,-115.0
42,100.0,-4.0,-115.0
43,0.0,4.0,-115.0
44,100.0,4.0,-115.0
45,0.0,4.0,115.0
46,100.0,4.0,115.0
47,0.0,-4.0,115.0
48,100.0,-4.0,115.0
49,0.0,4.0,-27.083333333333336
50,0.0,4.0,-21.666666666666668
51,0.0,4.0,-16.25
52,0.0,4.0,-10.833333333333332
53,0.0,4.0,-5.416666666666689
54,0.0,4.0,-4.973799150320701e-14
55,0.0,4.0,5.416666666666593
56,0.0,4.0,10.83333333333323
57,0.0,4.0,16.249999999999922
58,0.0,4.0,21.666666666666615
59,0.0,4.0,27.083333333333307
60,0.0,9.249999999999993,32.5
61,0.0,14.499999999999993,32.5
62,0.0,19.749999999999993,32.5
63,0.0,24.999999999999996,32.5
64,0.0,30.249999999999996,32.5
65,0.0,35.5,32.5
66,0.0,40.75,32.5
67,0.0,46.0,29.5
68,0.0,41.16666666666668,26.5
69,0.0,36.33333333333336,26.5
70,0.0,31.500000000000025,26.5
71,0.0,26.666666666666682,26.5
72,0.0,21.833333333333343,26.5
73,0.0,13.249999999999993,22.749999999999993
74,0.0,9.5,13.571428571428575
75,0.0,9.5,8.14285714285715
76,0.0,9.5,2.7142857142857437
77,0.0,9.5,-2.7142857142856585
78,0.0,9.5,-8.142857142857107
79,0.0,9.5,-13.571428571428555
80,0.0,13.250000000000007,-22.750000000000007
81,0.0,21.833333333333325,-26.5
82,0.0,26.666666666666643,-26.5
83,0.0,31.499999999999975,-26.5
84,0.0,36.333333333333314,-26.5
85,0.0,41.16666666666666,-26.5
86,0.0,46.0,-29.5
87,0.0,40.75000000000001,-32.5
88,0.0,35.50000000000001,-32.5
89,0.0,30.250000000000007,-32.5
90,0.0,25.000000000000004,-32.5
91,0.0,19.750000000000004,-32.5
92,0.0,14.5,-32.5
93,0.0,9.25,-32.5
94,0.0,-4.0,-27.083333333333336
95,0.0,-4.0,-21.666666666666668
96,0.0,-4.0,-16.25
97,0.0,-4.0,-10.833333333333332
98,0.0,-4.0,-5.416666666666689
99,0.0,-4.0,-4.973799150320701e-14
100,0.0,-4.0,5.416666666666593
101,0.0,-4.0,10.83333333333323
102,0.0,-4.0,16.249999999999922
103,0.0,-4.0,21.666666666666615
104,0.0,-4.0,27.083333333333307
105,0.0,-9.249999999999993,32.5
106,0.0,-14.499999999999993,32.5
107,0.0,-19.749999999999993,32.5
108,0.0,-24.999999999999996,32.5
109,0.0,-30.249999999999996,32.5
110,0.0,-35.5,32.5
111,0.0,-40.75,32.5
112,0.0,-46.0,29.5
113,0.0,-41.16666666666668,26.5
114,0.0,-36.33333333333336,26.5
115,0.0,-31.500000000000025,26.5
116,0.0,-26.666666666666682,26.5
117,0.0,-21.833333333333343,26.5
118,0.0,-13.249999999999993,22.749999999999993
119,0.0,-9.5,13.571428571428575
120,0.0,-9.5,8.14285714285715
121,0.0,-9.5,2.7142857142857437
122,0.0,-9.5,-2.7142857142856585
123,0.0,-9.5,-8.142857142857107
124,0.0,-9.5,-13.571428571428555
125,0.0,-13.250000000000007,-22.750000000000007
126,0.0,-21.833333333333325,-26.5
127,0.0,-26.666666666666643,-26.5
128,0.0,-31.499999999999975,-26.5
129,0.0,-36.333333333333314,-26.5
130,0.0,-41.16666666666666,-26.5
131,0.0,-46.0,-29.5
132,0.0,-40.75000000000001,-32.5
